# Return number	[Mean	Standard deviation]...
1	6975	3311.34	3393.63	2363.13	
2	7415.03	3296.42	61.1736	8.87908	
3	8593.66	2822.19	36.6046	1.75524	
4	7261.5	3552.84	27.9246	1.95666	
5	7882.99	3060.92	24.9647	2.43593	
6	8518.26	2931.33	22.5544	2.74148	
7	8671.28	2934.79	20.1915	3.17537	
8	8635.85	2852.34	19.6218	3.4205	
9	8312.63	3104.65	18.0471	3.62868	
10	8322.75	3300.37	17.8804	4.09472	
11	8431.4	3135.39	18.6303	4.37588	
12	7922.65	3196.25	17.8301	4.48631	
13	8263.78	3127.71	18.3597	4.70466	
14	9048.63	3292.54	16.1339	5.08295	
15	9055.14	2830.11	15.7979	4.9009	
16	8444.43	3163.65	16.9402	4.99963	
17	9304.8	3493.07	15.7613	5.43356	
18	8918.96	3032.75	16.7611	5.15997	
19	8948.59	3399.26	16.8316	4.97561	
20	8867.25	4132.69	18.4326	5.6592	
21	8892.47	3392.08	18.2948	5.55785	
22	9112.47	3375.7	19.1075	5.68539	
23	9136.37	3880.14	18.4863	5.82101	
24	8655.44	3218.87	17.2319	5.97154	
