# Return number	[Mean	Standard deviation]...
1	79587	30482.3	26546.7	14509.8	
2	79387.1	30700.3	23440.5	13539.8	
3	79358.2	30727.5	22005.4	12958.1	
4	79349.4	30736.7	20527.9	12666.1	
5	79356.7	30755.3	22604.2	14157.3	
6	79338.3	30756.9	13753.6	8491.79	
7	79333.9	30747.5	12866.9	8357.58	
8	79343.5	30753.4	10428.3	6426.98	
9	79356.6	30757.2	162.728	31.9136	
10	79366.3	30751	114.066	8.57171	
11	79371.1	30750	96.1624	3.54564	
12	79366.4	30748.5	90.0618	4.10457	
13	79389.4	30741.2	84.0488	3.67844	
14	79381.2	30750.4	82.2127	3.62032	
15	79355.8	30742.2	76.7718	4.06309	
16	79367.8	30758.9	73.2498	5.06906	
17	79391.9	30740.6	69.5191	3.63653	
18	79377.4	30741.1	66.1002	3.96435	
19	79311.5	30721.2	58.0954	3.74106	
20	79400.3	30741.5	56.1915	3.85054	
21	79402.1	30735	54.4771	3.9806	
22	79405.8	30739.4	53.0964	4.00381	
23	79380.5	30726	51.1906	3.87152	
24	79414.4	30745.5	48.1987	3.92509	
