# Return number	[Mean	Standard deviation]...
1	6981.19	3313.77	3119.35	1904.28	
2	7135.52	3416.28	60.1751	9.05815	
3	7483.22	3207.44	36.7105	1.97031	
4	7531.24	3265.6	29.305	2.00045	
5	7752.95	3217.61	24.9622	2.60414	
6	7472.13	3368.79	22.6506	2.99758	
7	6875.15	4049.03	20.6439	3.06343	
8	8169.84	3196.1	18.9495	3.38353	
9	8502.53	3042.68	19.054	3.79352	
10	8283.71	3206.7	18.9267	4.18426	
11	8568.41	2997.33	16.6785	4.0644	
12	8113.67	3394.59	17.1527	4.63758	
13	8779.08	3191.92	18.185	4.87943	
14	8941.71	3123.66	16.6348	5.12536	
15	8229.82	3349.09	15.0483	5.3546	
16	8329.91	3346.86	15.5984	4.68156	
17	8338.76	3182.83	15.5875	4.50087	
18	8381.27	3400.02	19.3255	5.59443	
19	8439.84	3462	18.1818	5.85776	
20	8882.04	3802.91	19.4389	5.48982	
21	8941.65	3243.41	19.6627	6.08162	
22	8897.17	4058.12	18.5952	6.17239	
23	8461	3210.25	20.6407	6.04419	
24	9076.89	3431.08	19.7941	6.5871	
